LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY AGE,CITY
nakkhu,23000000,1026.75,13,west,2.5,3.0,3.0,3.0,lalitpur
 sano bharayang,35000000,2156.1749999999997,16,north-west,2.5,5.0,3.0,4.0,kathmandu
budhanilkantha,42500000,1711.25,12,north,2.5,5.0,5.0,8.0,kathmandu
thankot,30000000,1369.0,13,east,3.5,5.0,5.0,15.0,kathmandu
samakhushi chowk,35000000,1711.25,13,south-west,2.5,4.0,3.0,10.0,kathmandu
thankot,12000000,1095.2,13,west,,,,,kathmandu
gyaneshwor,35000000,2053.5,15,south,3.5,4.0,4.0,8.0,kathmandu
jyotinagar,26500000,1026.75,20,south,2.0,4.0,2.0,6.0,kathmandu
wasik,27500000,1711.25,13,west,2.0,9.0,4.0,11.0,kathmandu
khadka gaun,23000000,1369.0,13,north-west,2.5,4.0,,4.0,kathmandu
bhaisepati,49900000,1711.25,16,south,3.5,4.0,4.0,5.0,lalitpur
gwarko,47500000,1369.0,13,north-west,3.5,7.0,5.0,5.0,lalitpur
dhapasi,40000000,2395.75,13,west,2.5,5.0,3.0,7.0,kathmandu
bafal,28000000,1369.0,12,east,,7.0,,5.0,kathmandu
khumaltar,40000000,1369.0,26,east,2.5,4.0,5.0,11.0,lalitpur
mandikhatar,120000000,5476.0,16,south,2.5,4.0,4.0,9.0,kathmandu
bhaisepati,45000000,1300.55,14,west,2.5,5.0,5.0,3.0,lalitpur
baluwatar,68000000,2806.45,14,east,2.5,6.0,3.0,31.0,kathmandu
bhaisepati,36000000,1711.25,15,east,2.5,4.0,4.0,23.0,lalitpur
bhaisepati,38000000,1779.7,13,north,2.5,5.0,5.0,6.0,lalitpur
kusunti,39500000,1779.7,13,east,2.5,4.0,4.0,5.0,lalitpur
thankot,11500000,752.95,10,south,2.5,5.0,3.0,9.0,kathmandu
sano thimi,49000000,1369.0,18,south,2.5,6.0,5.0,10.0,bhaktapur
 sano bharyang,43000000,1711.25,16,south-west,4.0,8.0,5.0,4.0,kathmandu
sipadol,22000000,1403.225,13,south,2.5,5.0,3.0,4.0,bhaktapur
sunakothi,37500000,1095.2,20,east-south,2.5,4.0,4.0,11.0,lalitpur
ochu height,37500000,1369.0,16,west,2.5,6.0,5.0,9.0,lalitpur
rudreshwor,145000000,4107.0,13,east-south,2.5,5.0,5.0,6.0,kathmandu
pasikot,38000000,1711.25,12,east,2.5,4.0,4.0,19.0,kathmandu
deuwa chowk,36000000,2053.5,14,east,2.5,6.0,4.0,5.0,kathmandu
imadol,32500000,1471.675,20,east,2.5,4.0,3.0,7.0,lalitpur
manamaiju,73500000,9.25,13,south-west,2.5,4.0,4.0,16.0,kathmandu
pasikot,30000000,1471.675,20,south,2.5,5.0,4.0,3.0,kathmandu
sitapaila,30000000,1266.325,10,east-north,2.5,6.0,3.0,5.0,kathmandu
golfutar,37500000,1403.225,13,east,2.5,4.0,3.0,13.0,kathmandu
ganesh chowk,32000000,1437.45,15,south-west,2.5,5.0,5.0,7.0,kathmandu
thaiba,26000000,1403.225,13,south,2.5,2.0,3.0,8.0,lalitpur
kalimati,92500000,3148.7,13,east-south,3.0,5.0,5.0,24.0,kathmandu
bhaisepati,45000000,1711.25,16,east-north,2.5,5.0,5.0,4.0,lalitpur
dhapasi,10000000,855.625,4,south,1.5,3.0,2.0,3.0,kathmandu
aakasedhara,28500000,1060.9750000000001,13,north,3.5,4.0,3.0,5.0,kathmandu
 sitapaila,42500000,2395.75,13,west,2.5,6.0,7.0,3.0,kathmandu
old baneshwor,28000000,1095.2,6,east,6.0,22.0,8.0,21.0,kathmandu
mhaipi,42500000,1745.475,20,north,2.5,4.0,,9.0,kathmandu
