LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY AGE,CITY
imadol,27000000,1095.2,20,west,2.5,5.0,4.0,5.0,lalitpur
paiyuntar,13500000,1095.2,13,east,1.0,2.0,1.0,11.0,kathmandu
bhaisepati,29000000,1437.45,15,north,,7.0,,,lalitpur
bhaisepati,64000000,2395.75,26,east,2.5,4.0,4.0,6.0,lalitpur
dhapasi,28500000,1369.0,12,north,2.5,5.0,4.0,13.0,kathmandu
kuleshwor,22500000,752.95,18,east,2.5,5.0,4.0,11.0,kathmandu
dhapasi,58000000,3114.475,15,south,3.5,5.0,5.0,4.0,kathmandu
banasthali,29500000,1711.25,14,west,2.5,6.0,6.0,6.0,kathmandu
chamati,30000000,1437.45,12,west,3.5,6.0,6.0,10.0,kathmandu
bhangal ,32000000,1437.45,13,west,2.5,7.0,5.0,2.0,kathmandu
gorkarneshwor,13000000,1026.75,13,east,1.0,2.0,1.0,16.0,kathmandu
maharajgunj,,10952.0,0,south,,,,10.0,kathmandu
 chamati,35500000,1060.9750000000001,20,north,2.5,7.0,5.0,3.0,kathmandu
old baneshwor,28000000,1095.2,6,east,6.0,22.0,8.0,21.0,kathmandu
budhanilkantha,110000000,8898.5,15,east,,6.0,,3.0,kathmandu
karyabinayak,32500000,1369.0,20,west,2.5,4.0,5.0,21.0,lalitpur
pasikot,39000000,1779.7,20,east,2.5,5.0,6.0,22.0,kathmandu
chhaling,95000000,1369.0,16,north,1.0,2.0,1.0,6.0,bhaktapur
bhangal ,32000000,1060.9750000000001,13,north,2.5,5.0,6.0,3.0,kathmandu
italitar,77500000,2772.225,20,east,3.0,5.0,5.0,6.0,kathmandu
 budhanilkantha,55000000,2566.875,16,south-west,3.5,4.0,4.0,4.0,kathmandu
budhanilkantha,40000000,1711.25,15,east-south,2.5,6.0,6.0,21.0,kathmandu
dharmasthali,13000000,1095.2,13,west,1.0,3.0,1.0,5.0,kathmandu
ram mandir,28500000,1711.25,16,north,2.5,6.0,4.0,4.0,kathmandu
kalimati,92500000,3148.7,13,east-south,3.0,5.0,5.0,24.0,kathmandu
mhaipi,33000000,1369.0,20,north,3.0,4.0,4.0,9.0,kathmandu
gongabu,60000000,1369.0,20,west,4.0,6.0,5.0,8.0,kathmandu
