LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY AGE,CITY
chhauni,85000000,4175.45,12,east,2.5,5.0,5.0,4.0,kathmandu
dhapasi,58000000,3114.475,15,south,3.5,5.0,5.0,4.0,kathmandu
 budhanilkantha,55000000,2566.875,13,east-north,2.5,5.0,4.0,4.0,kathmandu
syuchatar,22500000,1026.75,13,east,2.5,6.0,3.0,3.0,kathmandu
 ramkot,30500000,1369.0,26,east-north,3.5,6.0,4.0,7.0,kathmandu
dhapasi,28000000,1437.45,13,east-south,2.5,,,13.0,kathmandu
lolang,15500000,1026.75,18,north,2.0,6.0,3.0,13.0,kathmandu
bhaisepati,36500000,1095.2,20,north,2.5,5.0,4.0,16.0,lalitpur
basundhara,92000000,4107.0,20,south-west,3.5,7.0,6.0,16.0,kathmandu
dallu,40000000,1608.575,16,west,3.5,5.0,3.0,20.0,kathmandu
budhanilkantha,34500000,1369.0,13,west,2.5,6.0,5.0,8.0,kathmandu
budhanilkantha,36000000,1711.25,14,south-west,2.5,6.0,5.0,4.0,kathmandu
imadol,29500000,1095.2,13,south,2.5,5.0,4.0,9.0,lalitpur
ekantakuna,,1369.0,18,east-south,2.5,3.0,4.0,7.0,lalitpur
harisiddhi,30000000,1060.9750000000001,10,south,2.5,3.0,3.0,8.0,lalitpur
golfutar,37500000,1403.225,13,east,2.5,4.0,3.0,13.0,kathmandu
imadol,29000000,1369.0,12,west,3.0,5.0,4.0,5.0,lalitpur
golfutar,34500000,1369.0,13,south,2.5,6.0,6.0,5.0,kathmandu
 thankot,18500000,1540.125,13,east,3.5,8.0,3.0,2.0,kathmandu
budhanilkantha,160000000,4107.0,12,north,2.5,7.0,7.0,3.0,kathmandu
balkot,42500000,2053.5,10,south,3.5,4.0,4.0,3.0,bhaktapur
chapali,33500000,1403.225,15,south-west,2.5,5.0,5.0,2.0,kathmandu
kapan,21000000,1369.0,14,east,2.5,6.0,,11.0,kathmandu
putalisadak,85000000,2395.75,12,east,3.5,6.0,7.0,10.0,kathmandu
imadol,25000000,1026.75,13,east,2.5,5.0,3.0,9.0,lalitpur
 bafal,35000000,1026.75,12,north,2.5,6.0,3.0,3.0,kathmandu
balambu,18000000,1060.9750000000001,13,east,2.5,5.0,3.0,6.0,kathmandu
gothatar,22500000,1060.9750000000001,20,east,2.5,,,,kathmandu
narayanthan ,55000000,2464.2000000000003,13,east-north,2.5,4.0,5.0,21.0,kathmandu
bhaisepati,,1711.25,10,east,2.5,4.0,4.0,6.0,lalitpur
imadol,21500000,787.175,12,north,2.5,5.0,3.0,8.0,lalitpur
balkumari,47000000,1471.675,13,south,3.0,5.0,4.0,7.0,lalitpur
manamaiju,22500000,1095.2,13,north,3.5,6.0,4.0,8.0,kathmandu
imadol,21000000,787.175,13,north,2.5,4.0,4.0,5.0,lalitpur
hepali height,55000000,1779.7,15,east-north,2.5,5.0,5.0,13.0,kathmandu
bansbari,,6160.5,12,,,,,2.0,kathmandu
hepali height,30000000,1026.75,12,south,2.5,5.0,5.0,7.0,kathmandu
gokarna,13000000,1060.9750000000001,12,east,1.0,2.0,1.0,4.0,kathmandu
nakhudole,27500000,1369.0,10,south,2.5,3.0,4.0,4.0,lalitpur
budhanilkantha,160000000,4107.0,13,north,2.5,7.0,7.0,7.0,kathmandu
dharmasthali,26500000,1711.25,36,east-north,2.5,8.0,4.0,17.0,kathmandu
bhaisepati,,2806.45,13,,2.5,6.0,7.0,5.0,lalitpur
setipakha,32500000,1369.0,13,east,3.0,8.0,3.0,4.0,lalitpur
budhanilkantha,18000000,1026.75,16,west,2.0,,,2.0,kathmandu
imadol,22500000,1060.9750000000001,13,north,2.5,6.0,4.0,5.0,lalitpur
bhaisepati,50000000,1369.0,12,west,2.5,5.0,6.0,12.0,lalitpur
lubhu,17500000,855.625,13,south,2.5,4.0,4.0,11.0,lalitpur
basantanagar,13000000,1095.2,13,east,1.0,2.0,1.0,12.0,kathmandu
jaya bageshwori,57500000,1711.25,13,north-east,3.5,,,10.0,kathmandu
new road,,342.25,35,south,5.0,12.0,5.0,5.0,kathmandu
bhangal ,35000000,1711.25,14,east-south,,3.0,,5.0,kathmandu
syuchatar,22400000,1369.0,13,north,2.0,6.0,3.0,5.0,kathmandu
golfutar,16000000,1369.0,13,east-south,1.0,3.0,1.0,7.0,kathmandu
mahadevsthan,11500000,1026.75,13,west,1.5,5.0,4.0,11.0,kathmandu
goldhunga,30000000,1437.45,20,east,2.5,4.0,4.0,9.0,kathmandu
sanepa,58000000,1745.475,12,north,3.0,6.0,6.0,7.0,lalitpur
italitar,105000000,3764.75,20,east-north,2.5,5.0,6.0,6.0,kathmandu
bhimsengola,102000000,3080.25,20,west,2.5,5.0,4.0,15.0,kathmandu
goldhunga,29900000,1026.75,10,west,3.5,8.0,4.0,3.0,kathmandu
 thulo bharayang,41500000,1437.45,13,east-north,3.5,7.0,6.0,2.0,kathmandu
gurjudhara,32500000,1369.0,13,south,2.5,5.0,4.0,16.0,kathmandu
imadol,29500000,1437.45,13,north,2.5,5.0,5.0,8.0,lalitpur
golfutar,,1095.2,13,south-west,2.5,5.0,4.0,6.0,kathmandu
nakhipot,32000000,1437.45,20,west,2.5,5.0,4.0,9.0,lalitpur
budhanilkantha,36000000,1711.25,13,west,2.5,5.0,4.0,4.0,kathmandu
sanagaun,19000000,1369.0,16,west,2.5,6.0,4.0,13.0,lalitpur
setipakha,22500000,1403.225,12,east,2.5,5.0,3.0,7.0,lalitpur
bhaisepati,28000000,1471.675,16,east,2.5,4.0,4.0,19.0,lalitpur
bhaisepati,64000000,2053.5,20,south,2.5,4.0,5.0,23.0,lalitpur
khumaltar,42000000,1437.45,12,south,3.0,6.0,5.0,11.0,lalitpur
tokha saraswoti,13500000,1369.0,12,north,2.5,5.0,4.0,3.0,kathmandu
mitrapark,49000000,1471.675,30,south-west,4.5,6.0,6.0,6.0,kathmandu
bansbari,62500000,3148.7,13,south,2.0,4.0,3.0,5.0,kathmandu
mid baneshwor,100000000,4107.0,13,east,2.0,5.0,3.0,11.0,kathmandu
imadol,125000000,4791.5,40,south,3.0,,,3.0,lalitpur
sorhakhutte,37000000,1711.25,10,north,3.5,4.0,5.0,6.0,kathmandu
kapan,,1437.45,15,south,2.5,5.0,5.0,4.0,kathmandu
baluwatar,22500000,752.95,12,east,3.0,6.0,6.0,8.0,kathmandu
gamcha,43000000,2395.75,13,,2.5,5.0,4.0,6.0,bhaktapur
tokha,,2395.75,20,south,2.5,4.0,4.0,7.0,kathmandu
bhangal ,20500000,1060.9750000000001,12,east,2.5,,,3.0,kathmandu
sanepa,190000000,5476.0,18,west,3.0,5.0,5.0,11.0,lalitpur
kalanki,28000000,1437.45,13,east,2.5,4.0,4.0,14.0,kathmandu
hattiban,20000000,1026.75,14,east-south,2.0,4.0,2.0,2.0,lalitpur
attarkhel,30000000,1095.2,13,east,3.0,8.0,3.0,19.0,kathmandu
hepali height,45000000,1437.45,20,south-west,3.0,3.0,3.0,6.0,kathmandu
lambagar,16000000,855.625,8,east-south,2.5,4.0,2.0,3.0,kathmandu
bansbari,45000000,2738.0,20,east,2.5,6.0,4.0,5.0,kathmandu
 sitapaila,23000000,1026.75,16,south,2.5,5.0,3.0,4.0,kathmandu
hattigaunda,36500000,2087.725,14,south,2.5,7.0,7.0,8.0,kathmandu
bishalnagar,100000000,2738.0,16,south,3.0,5.0,3.0,7.0,kathmandu
budhanilkantha,26500000,1060.9750000000001,18,north,2.5,4.0,4.0,5.0,kathmandu
thapathali,60000000,2395.75,14,east,2.0,5.0,4.0,25.0,kathmandu
 budhanilkantha,80000000,5476.0,16,east-south,3.0,11.0,7.0,5.0,kathmandu
budhanilkantha,51500000,2840.675,13,south-west,2.0,5.0,3.0,12.0,kathmandu
bansbari,55000000,2121.9500000000003,13,north,2.5,6.0,5.0,3.0,kathmandu
matatirtha,18000000,1369.0,13,east-north,1.0,3.0,2.0,5.0,kathmandu
 satungal,18500000,787.175,10,east-north,2.5,5.0,3.0,7.0,kathmandu
thankot,16000000,1060.9750000000001,13,west,2.5,5.0,2.0,11.0,kathmandu
bhaisepati,38000000,1779.7,18,east-north,2.5,5.0,5.0,8.0,lalitpur
goldhunga,18500000,1369.0,26,east,2.0,4.0,4.0,16.0,kathmandu
 sitapaila,42500000,2395.75,13,west,2.5,6.0,7.0,3.0,kathmandu
samakhushi chowk,33000000,1369.0,13,north,2.5,6.0,5.0,7.0,kathmandu
thaiba,45000000,2053.5,20,east-south,2.5,4.0,4.0,20.0,lalitpur
anamnagar,400000000,5133.75,10,south-west,7.0,,,9.0,kathmandu
 nakhu,39000000,1779.7,13,east-north,2.5,4.0,3.0,3.0,lalitpur
imadol,35000000,1369.0,13,north,3.5,7.0,4.0,1.0,lalitpur
baluwatar,40000000,1060.9750000000001,12,east,5.0,3.0,5.0,5.0,kathmandu
sainbu,30000000,1369.0,15,north,2.5,5.0,4.0,5.0,lalitpur
 dhapasi height,127500000,4791.5,14,east-north,2.0,2.0,2.0,2.0,kathmandu
imadol,35000000,1369.0,13,west,2.5,4.0,4.0,5.0,lalitpur
godawari,55000000,0.0,16,north,2.5,4.0,4.0,5.0,lalitpur
 syuchatar,39500000,1369.0,13,east-north,3.5,5.0,4.0,2.0,kathmandu
setipakha,31000000,1369.0,15,south,2.5,4.0,5.0,5.0,lalitpur
bhaisepati,85000000,2395.75,13,east,2.5,5.0,5.0,1.0,lalitpur
bhaisepati,,,15,south,2.5,3.0,4.0,5.0,lalitpur
imadol,20700000,1060.9750000000001,13,north,2.5,5.0,4.0,13.0,lalitpur
khichapokhari,35500000,1813.925,10,west,4.0,7.0,4.0,16.0,kathmandu
gothatar,40000000,2053.5,20,south-west,2.5,4.0,3.0,13.0,kathmandu
tikathali,27000000,1403.225,13,north-west,2.5,7.0,4.0,5.0,lalitpur
budhanilkantha,25500000,1026.75,12,east,3.5,5.0,5.0,11.0,kathmandu
bhimsengola,75000000,3422.5,20,east-north,2.5,6.0,6.0,23.0,kathmandu
dhumbarahi,,1403.225,12,east,3.5,,,13.0,kathmandu
bhairabchaur,35000000,3490.95,12,south,3.5,,,3.0,kathmandu
imadol,29000000,1095.2,13,east,3.0,5.0,5.0,2.0,lalitpur
imadol,43000000,1095.2,14,east,2.5,4.0,4.0,11.0,lalitpur
budhanilkantha,28500000,1437.45,13,east-south,2.5,5.0,5.0,3.0,kathmandu
budhanilkantha,75000000,2498.4249999999997,24,south,2.5,4.0,5.0,7.0,kathmandu
 boudha,185000000,3764.75,12,south,2.5,11.0,5.0,16.0,kathmandu
lolang,13799999,1026.75,13,east,1.0,2.0,1.0,4.0,kathmandu
bhaisepati,49900000,1711.25,16,south,3.5,4.0,4.0,5.0,lalitpur
thaiba,18000000,1129.425,20,south,2.5,4.0,3.0,21.0,lalitpur
yetkha,25000000,1197.875,8,east,6.5,8.0,5.0,2.0,kathmandu
sukedhara,39800000,2053.5,12,south,2.5,4.0,4.0,7.0,kathmandu
hattigaunda,59000000,2498.4249999999997,12,west,2.5,5.0,5.0,3.0,kathmandu
naya basti,19000000,1369.0,12,east,2.0,5.0,4.0,4.0,kathmandu
banasthali,70000000,2121.9500000000003,20,east,2.5,5.0,5.0,17.0,kathmandu
lolang,25000000,1471.675,10,east,3.5,8.0,4.0,24.0,kathmandu
kamalpokhari,180000000,2498.4249999999997,591,north,5.0,12.0,6.0,2.0,kathmandu
hattigaunda,75000000,2738.0,13,south,2.5,7.0,6.0,9.0,kathmandu
pepsicola,24000000,1095.2,20,east,2.5,6.0,3.0,4.0,kathmandu
kharibot,24500000,1026.75,16,south,2.5,4.0,2.0,11.0,kathmandu
chunikhel,25000000,1026.75,10,south,3.5,7.0,3.0,12.0,kathmandu
nakkhu,39900000,1711.25,13,east,2.0,4.0,4.0,12.0,lalitpur
dhapasi,32500000,2053.5,10,east,2.5,5.0,1.0,3.0,kathmandu
imadol,36000000,2395.75,10,east-north,2.5,4.0,3.0,5.0,lalitpur
budhanilkantha,39000000,1711.25,20,north-west,3.0,6.0,5.0,21.0,kathmandu
gatthaghar,31000000,,12,south,2.5,4.0,4.0,25.0,bhaktapur
mandikhatar,,,10,south,2.5,11.0,,5.0,kathmandu
tundaldevi,75000000,3080.25,20,,2.5,4.0,4.0,7.0,kathmandu
imadol,31000000,1369.0,13,south,2.5,4.0,3.0,2.0,lalitpur
maharajgunj,120000000,4107.0,10,east-south,3.5,5.0,4.0,1.0,kathmandu
chandol,35000000,1369.0,15,west,2.5,4.0,,29.0,kathmandu
bhaisepati,21000000,1026.75,12,east-north,2.5,5.0,5.0,15.0,lalitpur
sundarbasti,25000000,1369.0,12,east-south,2.5,4.0,2.0,19.0,kathmandu
kusunti,27500000,1369.0,15,south,2.5,5.0,3.0,7.0,lalitpur
kalanki,23500000,1060.9750000000001,13,east,2.5,5.0,4.0,12.0,kathmandu
koteshwor,45000000,1369.0,26,east,3.5,5.0,6.0,17.0,kathmandu
new buspark,35000000,1026.75,13,west,5.0,17.0,12.0,5.0,kathmandu
dhumbarahi,67500000,2738.0,12,east-south,2.0,9.0,6.0,7.0,kathmandu
sitapaila,23000000,1369.0,12,north,3.5,9.0,3.0,5.0,kathmandu
grande hospital,26000000,1026.75,12,south-west,2.5,3.0,4.0,11.0,kathmandu
chapali,39000000,1711.25,18,north,2.5,6.0,8.0,10.0,kathmandu
khumaltar,39000000,1437.45,14,south,2.5,4.0,4.0,19.0,lalitpur
balkot,28000000,1129.425,13,west,3.0,5.0,5.0,9.0,bhaktapur
imadol,31500000,1060.9750000000001,13,west,2.5,4.0,4.0,12.0,lalitpur
mahadevsthan,10500000,1026.75,10,east,1.0,2.0,1.0,19.0,kathmandu
 syuchatar,22000000,1540.125,10,south,3.0,7.0,4.0,3.0,kathmandu
italitar,,1437.45,12,west,2.5,6.0,3.0,2.0,kathmandu
sitapaila,20000000,1026.75,11,,2.5,,,,kathmandu
syuchatar,25000000,1711.25,16,east,2.5,4.0,3.0,10.0,kathmandu
dhapakhel,29000000,1026.75,26,east-south,2.5,3.0,3.0,8.0,lalitpur
imadol,30000000,1095.2,13,west,2.5,4.0,4.0,5.0,lalitpur
maharajgunj,90000000,4141.224999999999,16,south,2.5,5.0,4.0,10.0,kathmandu
tikathali,25000000,1095.2,18,south,3.0,6.0,3.0,5.0,lalitpur
gyaneshwor,45000000,752.95,10,west,5.5,13.0,5.0,15.0,kathmandu
balkumari,42500000,1437.45,36,east-north,4.0,16.0,4.0,21.0,lalitpur
battisputali,95000000,3422.5,13,south,2.5,5.0,4.0,16.0,kathmandu
maharajgunj,72500000,3422.5,13,east-north,2.5,6.0,3.0,8.0,kathmandu
sukedhara,42500000,1369.0,12,north,2.5,5.0,4.0,7.0,kathmandu
koteshwor,41500000,1369.0,6,south,4.0,5.0,5.0,8.0,kathmandu
dhaneshwor,20000000,1095.2,12,south,2.5,7.0,3.0,3.0,kathmandu
imadol,23500000,752.95,8,south,2.5,8.0,4.0,6.0,lalitpur
sitapaila,27000000,1369.0,20,north,,,,22.0,kathmandu
budhanilkantha,80000000,2224.625,12,north,2.0,4.0,,7.0,kathmandu
sunakothi,23000000,787.175,20,east,2.0,3.0,2.0,11.0,lalitpur
manamaiju,38000000,1369.0,12,south,3.5,9.0,4.0,3.0,kathmandu
nakkhu,26500000,1095.2,20,north,2.5,4.0,5.0,18.0,lalitpur
imadol,21500000,1060.9750000000001,13,south,2.5,4.0,3.0,5.0,lalitpur
chapali,44000000,1711.25,12,north-west,2.5,5.0,4.0,3.0,kathmandu
machhe gaun,12000000,1026.75,16,north,1.5,5.0,4.0,9.0,kathmandu
gokarneswhor,35000000,1540.125,12,east-south,3.0,11.0,5.0,3.0,kathmandu
banasthali,30000000,1369.0,32,east,3.0,5.0,4.0,19.0,kathmandu
thamel,,7529.5,15,south,3.0,,,8.0,kathmandu
sitapaila,22500000,1060.9750000000001,18,north,2.5,4.0,3.0,3.0,kathmandu
boharatar,57500000,3114.475,12,north,2.5,4.0,3.0,5.0,kathmandu
gwarko,35500000,1437.45,14,south,3.5,6.0,5.0,7.0,lalitpur
budhanilkantha,48000000,2840.675,12,east,2.5,5.0,3.0,12.0,kathmandu
setipakha,23000000,787.175,13,east,2.5,5.0,3.0,7.0,lalitpur
sunakothi,,1403.225,20,east-north,2.5,5.0,5.0,5.0,lalitpur
 syuchatar,16000000,1608.575,16,south,2.5,4.0,2.0,9.0,kathmandu
budhanilkantha,32000000,1369.0,13,north,2.5,6.0,4.0,13.0,kathmandu
dhapasi,37500000,1369.0,13,east,3.0,6.0,4.0,23.0,kathmandu
bhaisepati,41000000,1711.25,20,east,2.5,4.0,5.0,4.0,lalitpur
golfutar,32500000,1369.0,15,west,3.0,6.0,5.0,24.0,kathmandu
dhapasi,30000000,1369.0,28,south-west,3.0,5.0,5.0,4.0,kathmandu
makalbari,31000000,2738.0,13,east-north,1.0,2.0,1.0,16.0,kathmandu
sitapaila,27500000,1369.0,13,east,2.5,3.0,3.0,7.0,kathmandu
sai baba chowk,25000000,1369.0,13,east,2.5,6.0,3.0,3.0,kathmandu
 ramkot,42000000,2464.2000000000003,16,east,2.5,9.0,6.0,7.0,kathmandu
hattiban,65000000,2738.0,16,north,2.5,7.0,5.0,5.0,lalitpur
goldhunga,29500000,1026.75,12,north,2.5,4.0,3.0,5.0,kathmandu
new baneshwor,42500000,1369.0,13,north,2.5,4.0,4.0,5.0,kathmandu
pepsicola,67500000,2395.75,20,south,2.5,5.0,4.0,7.0,kathmandu
bhaisepati,55000000,1437.45,10,east-south,2.5,3.0,4.0,19.0,lalitpur
imadol,21000000,1026.75,13,south,2.5,3.0,3.0,13.0,lalitpur
bhangal ,18500000,1060.9750000000001,13,north-west,2.5,5.0,3.0,7.0,kathmandu
bhaisepati,78000000,2395.75,13,north,2.5,5.0,5.0,9.0,lalitpur
dhumbarahi,95000000,3422.5,13,north-west,2.5,4.0,4.0,13.0,kathmandu
chapali,27000000,787.175,13,east,3.5,6.0,4.0,2.0,kathmandu
mandikhatar,37500000,1369.0,13,south,2.5,6.0,5.0,12.0,kathmandu
imadol,27500000,1026.75,13,west,3.0,5.0,3.0,6.0,lalitpur
bansbari,96000000,5476.0,15,east-south,2.5,7.0,6.0,5.0,kathmandu
tindhara,22000000,1026.75,26,north,2.5,6.0,5.0,11.0,kathmandu
sanagaun,30500000,1403.225,13,east-north,3.0,5.0,5.0,13.0,lalitpur
grande villa,26000000,1369.0,26,north,2.5,4.0,3.0,11.0,kathmandu
katunje,35000000,2738.0,13,north,2.5,5.0,4.0,16.0,bhaktapur
bhaisepati,150000000,2738.0,12,south,2.0,5.0,6.0,9.0,lalitpur
greenland chowk,45000000,3080.25,10,east,2.5,7.0,4.0,4.0,kathmandu
lokanthali,,2464.2000000000003,10,east-south,3.0,,,,bhaktapur
 lazimpat,15500000,1197.875,22,east-west,2.5,8.0,2.0,16.0,kathmandu
bhangal ,13500000,1095.2,13,north-west,1.0,2.0,1.0,21.0,kathmandu
golfutar,26000000,1026.75,14,east,2.0,5.0,5.0,11.0,kathmandu
mandikatar,27500000,1369.0,12,south,2.5,,,2.0,kathmandu
bhaisepati,55000000,1711.25,12,south-west,2.5,4.0,5.0,5.0,lalitpur
gothatar,24000000,1129.425,28,north-west,2.5,5.0,3.0,3.0,kathmandu
tikathali,25000000,1060.9750000000001,13,north,2.5,6.0,3.0,25.0,lalitpur
