LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY AGE,CITY
imadol,24000000,1095.2,13,east,2.5,4.0,3.0,1.0,lalitpur
 radha krishna,26500000,1026.75,13,south,2.5,5.0,3.0,8.0,kathmandu
bhaisepati,85000000,1711.25,14,south,2.5,5.0,7.0,7.0,lalitpur
thankot,12000000,1026.75,13,east,2.5,4.0,4.0,8.0,kathmandu
bhaisepati,,2156.1749999999997,20,south,2.5,4.0,5.0,23.0,lalitpur
tikathali,25500000,1026.75,13,south,2.5,5.0,3.0,5.0,lalitpur
satdobato,45000000,3080.25,20,north,2.5,6.0,4.0,10.0,lalitpur
hattiban,35000000,1129.425,22,north-west,2.5,3.0,4.0,9.0,lalitpur
towkhel,25500000,1403.225,13,east-south,2.5,6.0,4.0,2.0,kathmandu
sukedhara,28000000,1060.9750000000001,25,west,4.0,10.0,3.0,3.0,kathmandu
ochu height,23000000,1026.75,13,west,2.5,4.0,4.0,3.0,lalitpur
nakhipot,20000000,855.625,13,east,2.5,4.0,3.0,5.0,lalitpur
balkot,45000000,3080.25,26,north,2.5,5.0,2.0,5.0,bhaktapur
 dhungedhara,33000000,1026.75,13,north,3.0,5.0,3.0,2.0,kathmandu
maharajgunj,24000000,1369.0,14,east,2.0,4.0,2.0,29.0,kathmandu
imadol,17500000,752.95,13,north,2.5,6.0,4.0,3.0,lalitpur
ekantakuna,36000000,1711.25,443,east-south,2.5,6.0,3.0,21.0,lalitpur
dhumbarahi,62500000,1882.375,12,east,3.0,7.0,4.0,29.0,kathmandu
baluwatar,,3422.5,13,south,2.5,3.0,4.0,11.0,kathmandu
baniyatar,65000000,2395.75,12,north,,,,,kathmandu
basundhara,38000000,1026.75,10,east-south,3.5,,4.0,6.0,kathmandu
hatti gauda,30000000,2395.75,22,east-south,2.5,7.0,5.0,3.0,kathmandu
chandragiri,18500000,1095.2,10,,2.5,8.0,,25.0,kathmandu
lasuntar,31000000,1403.225,13,east,2.5,4.0,3.0,5.0,kathmandu
tikathali,98500000,752.95,16,west,1.0,,,6.0,lalitpur
