price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,no_of_flat
39000000.0,Dholahiti Lalitpur,1411.78,north,5.0,3.0,2.0,2.5,4.0,13.0,fully-furnished,2.5
80000000.0,"Budhanilkantha, Kathmandu",2738.0,south-west,5.0,5.0,2.0,2.5,3.0,13.0,semi-furnished,2.5
32500000.0,"Budhanilkantha, Kathmandu",1197.87,east-south,6.0,4.0,2.0,2.5,3.0,20.0,semi-furnished,2.5
33000000.0,"Bafal, Kathmandu",1411.78,east-south,5.0,3.0,2.0,2.5,3.0,13.0,semi-furnished,2.5
32000000.0,"Bhangal, budhanilkantha",1069.53,south-west,6.0,4.0,2.0,2.5,3.0,13.0,semi-furnished,2.5
35000000.0,"Tikathali, Lalitpur",1369.0,south,6.0,4.0,3.0,3.0,3.0,20.0,semi-furnished,3.0
36500000.0,Jala binayak colony,1925.15,south,5.0,3.0,1.0,2.5,3.0,20.0,fully-furnished,2.5
35000000.0,Jala binayak colony,1882.37,south,5.0,3.0,1.0,2.5,3.0,20.0,fully-furnished,2.5
25000000.0,Pragati Colony,1197.87,west,5.0,4.0,2.0,3.0,4.0,13.0,semi-furnished,3.0
57500000.0,Bhaisepati,2053.5,east,4.0,3.0,1.0,2.0,4.0,13.0,fully-furnished,2.0
28500000.0,"Tikathali, Lalitpur",1026.75,east,5.0,4.0,2.0,3.5,4.0,13.0,fully-furnished,3.5
35000000.0,Bhaisepati,1048.14,east,4.0,4.0,1.0,2.5,4.0,20.0,fully-furnished,2.5
38000000.0,Tinthana,1860.98,south,6.0,5.0,3.0,3.0,3.0,12.0,semi-furnished,3.0
38000000.0,"Kalanki, Syuchatar ",1369.0,south-west,6.0,3.0,2.0,2.5,3.0,13.0,semi-furnished,2.5
18500000.0,Satungal,1155.09,east-south,3.0,2.0,1.0,2.5,3.0,31.0,semi-furnished,2.5
38000000.0,"Sitapaila, Kathmandu",1967.93,south-west,8.0,3.0,0.0,4.0,4.0,16.0,semi-furnished,4.0
70000000.0,"Raniban, Kathmandu",2139.06,north-west,7.0,5.0,2.0,2.5,5.0,20.0,semi-furnished,2.5
80000000.0,Khadka Gau,4107.0,east-north,6.0,6.0,2.0,2.5,7.0,14.0,semi-furnished,2.5
37500000.0,Imadol,1197.87,south,5.0,4.0,2.0,3.5,4.0,13.0,fully-furnished,3.5
52000000.0,"Imadol, lalitpur",1839.59,south,7.0,8.0,2.0,3.5,5.0,13.0,fully-furnished,3.5
54000000.0,Imadol,1711.25,east,7.0,7.0,2.0,3.0,4.0,20.0,fully-furnished,3.0
42000000.0,Cozy home,1240.65,east,4.0,4.0,1.0,3.0,4.0,13.0,fully-furnished,3.0
