LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY AGE
"Chandragiri, Kathmandu",17000000,1129.425,20,east,2.0,3.0,3.0,3.0
"Imadol, Lalitpur",24000000,787.175,13,south,3.5,5.0,4.0,4.0
"Tikathali, Lalitpur",27500000,1369.0,13,south,2.5,4.0,4.0,7.0
"Tikathali, Lalitpur",22500000,1095.2,13,south,2.5,4.0,3.0,7.0
"Lubhu, Lalitpur",18000000,1437.45,13,east,2.5,4.0,4.0,3.0
"Imadol, Lalitpur",25000000,1095.2,14,south,2.5,3.0,3.0,4.0
"Setipakha, Lalitpur",16500000,1060.9750000000001,13,east-north,1.0,1.0,1.0,7.0
"Bhaisepati, Lalitpur",51000000,2156.1749999999997,12,south,2.5,5.0,5.0,3.0
"Imadol, Lalitpur",59900000,2395.75,20,east,2.5,5.0,3.0,4.0
"Imadol, Lalitpur",32500000,1471.675,20,east,2.5,4.0,3.0,7.0
"Bhaisepati, Lalitpur",27500000,1095.2,13,north,2.5,5.0,5.0,4.0
"Sudal, Bhaktapur",12700000,1369.0,13,east,1.0,2.0,1.0,7.0
"Bhaisepati, Lalitpur",61000000,2053.5,18,south,3.5,6.0,4.0,11.0
"Hattiban, Lalitpur",36900000,1403.225,18,south,3.5,5.0,4.0,2.0
"Sunakothi, Lalitpur",23000000,787.175,20,east,2.0,3.0,2.0,11.0
"Budhanilkantha, Kathmandu",32000000,1369.0,14,south,2.0,5.0,5.0,2.0
"Nil Barahi Mandir, Bhaktapur",15500000,1095.2,20,south-west,2.5,6.0,3.0,3.0
"Dhapasi, Kathmandu",42500000,1437.45,13,west,2.5,7.0,6.0,1.0
"Katyani Chowk, Kathmandu",65000000,2395.75,24,east,2.5,9.0,4.0,7.0
"Gaurighat, Kathmandu",35000000,1369.0,15,north,2.0,6.0,5.0,5.0
"Budhanilkantha, Kathmandu",28000000,1095.2,16,south,3.0,6.0,6.0,5.0
"Lubhu, Lalitpur",13300000,1026.75,13,south,1.5,2.0,1.0,4.0
"Hattigaunda, Kathmandu",,5133.75,20,south-west,2.5,5.0,4.0,2.0
"Imadol, Lalitpur",16000000,752.95,13,south,2.0,4.0,2.0,6.0
"Harisiddhi, Lalitpur",25000000,1060.9750000000001,13,west,2.5,4.0,4.0,13.0
"Harisiddhi, Lalitpur",28000000,1026.75,20,west,2.5,5.0,4.0,5.0
"Imadol, Lalitpur",27000000,1095.2,14,south-west,2.5,5.0,3.0,5.0
"Bhaisepati, Lalitpur",39900000,1437.45,16,south,2.5,5.0,5.0,5.0
"Bhaisepati, Lalitpur",49900000,1711.25,16,south,3.5,4.0,4.0,5.0
"Lubhu, Lalitpur",17000000,1437.45,10,east,2.5,5.0,3.0,5.0
"Bhaisepati, Lalitpur",42500000,1129.425,20,south-west,2.5,4.0,4.0,5.0
"Sanagaun, Lalitpur",17000000,1026.75,13,west,2.0,4.0,2.0,4.0
"Balkot, Bhaktapur",52500000,1711.25,20,east-south,2.5,5.0,4.0,5.0
"Bageshwori, Bhaktapur",25000000,1711.25,13,south,2.5,7.0,3.0,7.0
"Bhangal , Kathmandu",32000000,1437.45,13,west,2.5,7.0,5.0,2.0
"Tikathali, Lalitpur",25000000,1095.2,18,south,3.0,6.0,3.0,5.0
"Imadol, Lalitpur",23500000,1095.2,13,west,2.5,4.0,3.0,5.0
"Samakhusi, Kathmandu",39000000,1026.75,13,west,2.5,3.0,4.0,5.0
"Budhanilkantha, Kathmandu",33000000,2053.5,12,north,2.5,5.0,5.0,5.0
"Chandol, Kathmandu",85000000,3182.925,20,east,2.5,6.0,6.0,11.0
"Hepali Height, Kathmandu",60300000,1711.25,16,north,3.5,4.0,4.0,1.0
"Imadol, Lalitpur",16500000,1060.9750000000001,16,south,2.5,4.0,2.0,5.0
"Imadol, Lalitpur",22500000,1060.9750000000001,20,north-west,2.5,4.0,4.0,5.0
"Hepali Height, Kathmandu",33000000,2121.9500000000003,13,south,2.5,6.0,5.0,5.0
"Mandikhatar, Kathmandu",75000000,3114.475,16,south-west,3.5,8.0,6.0,5.0
"Imadol, Lalitpur",27500000,1060.9750000000001,13,west,3.0,5.0,3.0,4.0
"Bojepokhari, Lalitpur",28500000,1095.2,12,east,2.5,6.0,5.0,4.0
"Hattigaunda, Kathmandu",31500000,1369.0,14,east,2.5,6.0,5.0,1.0
"Tikathali, Lalitpur",27500000,1369.0,13,north,2.5,7.0,4.0,8.0
"Imadol, Lalitpur",23500000,1026.75,13,east,3.5,6.0,4.0,7.0
"Thaiba, Lalitpur",29000000,1779.7,20,east-north,2.5,6.0,4.0,7.0
"Tikathali, Lalitpur",25500000,1026.75,13,north,3.0,6.0,5.0,7.0
"Imadol, Lalitpur",32500000,1369.0,20,north,2.5,3.0,4.0,5.0
"Imadol, Lalitpur",27000000,1129.425,13,east,3.5,5.0,4.0,5.0
"Imadol, Lalitpur",24500000,1060.9750000000001,13,west,2.5,4.0,4.0,8.0
"Imadol, Lalitpur",29500000,1437.45,13,north,2.5,5.0,5.0,8.0
"Itahari, Sunsari",,510.30182,24,south,4.0,,,8.0
"Lasuntar, Kathmandu",25000000,1369.0,12,east-north,2.5,5.0,3.0,1.0
"Khumaltar, Lalitpur",45000000,2053.5,13,south,2.5,6.0,3.0,7.0
"Imadol, Lalitpur",24000000,787.175,13,east,3.0,4.0,4.0,8.0
"Imadol, Lalitpur",23000000,752.95,13,north,3.0,4.0,4.0,8.0
"Imadol, Lalitpur",26500000,1369.0,13,south-west,3.0,4.0,5.0,7.0
"Tikathali, Lalitpur",32000000,1403.225,13,north-west,2.5,5.0,4.0,5.0
"Imadol, Lalitpur",29000000,1026.75,13,east,2.5,5.0,5.0,5.0
"Imadol, Lalitpur",27500000,1026.75,20,west,3.5,6.0,4.0,7.0
"Tikathali, Lalitpur",25500000,1095.2,13,east-north,3.0,6.0,6.0,8.0
"Imadol, Lalitpur",27500000,1060.9750000000001,13,west,2.5,5.0,5.0,8.0
"Imadol, Lalitpur",34000000,1095.2,26,west,3.0,5.0,4.0,5.0
"Nakkhu, Lalitpur",27500000,1095.2,20,east,2.5,4.0,4.0,5.0
"Imadol, Lalitpur",42500000,1403.225,20,east-north,2.5,5.0,3.0,8.0
"Sanagaun, Lalitpur",16000000,1779.7,13,east-north,2.5,4.0,3.0,11.0
"Samakhushi chowk, Kathmandu",35500000,1095.2,13,north,2.5,6.0,4.0,2.0
"Imadol, Lalitpur",27500000,1026.75,13,east-north,2.5,6.0,4.0,9.0
"Lubhu, Lalitpur",59000000,2429.975,20,east,2.5,6.0,5.0,7.0
"Taukhel, Lalitpur",27500000,1369.0,12,west,3.0,5.0,3.0,5.0
"Hattiban, Lalitpur",28000000,1060.9750000000001,13,south,2.5,6.0,4.0,11.0
"Hattiban, Lalitpur",32500000,1369.0,14,north-west,2.5,6.0,4.0,18.0
"Sundarbasti, Kathmandu",39000000,1437.45,13,east,2.5,6.0,5.0,10.0
"Narayanthan , Kathmandu",42500000,1369.0,20,west,2.5,4.0,6.0,15.0
"Katunje, Bhaktapur",34000000,1403.225,13,south-west,2.5,5.0,4.0,9.0
"Dhapasi, Kathmandu",47500000,2395.75,20,east,3.0,4.0,5.0,13.0
"Sundarbasti, Kathmandu",34500000,1129.425,13,east-north,2.5,4.0,4.0,9.0
"Nayapati, Kathmandu",29000000,2087.725,20,west,2.5,11.0,4.0,5.0
"Imadol, Lalitpur",26500000,992.525,13,south-west,3.5,5.0,4.0,5.0
"Nakhipot, Lalitpur",42500000,1437.45,16,east-south,3.5,7.0,5.0,22.0
"Khumaltar, Lalitpur",42000000,1437.45,12,south,3.0,6.0,5.0,11.0
"Jyotinagar, Kathmandu",29500000,1437.45,16,north,3.5,5.0,4.0,7.0
"Kuleshwor, Kathmandu",45000000,752.95,27,east,5.0,7.0,4.0,16.0
"Khumaltar, Lalitpur",39000000,1471.675,16,north,2.5,6.0,4.0,11.0
"Dhapasi, Kathmandu",46000000,2464.2000000000003,13,south,2.5,4.0,5.0,10.0
"Makalbari, Kathmandu",,2738.0,16,east,1.0,2.0,1.0,11.0
"Bhangal , Kathmandu",24000000,1095.2,13,east,2.5,6.0,5.0,11.0
"Mahadevtar, Kathmandu",60000000,3490.95,13,south-west,3.5,8.0,5.0,9.0
"Budhanilkantha, Kathmandu",38500000,1437.45,13,east,3.0,6.0,5.0,9.0
"Pasikot, Kathmandu",28000000,1369.0,13,west,2.5,5.0,4.0,5.0
"Imadol, Lalitpur",23000000,787.175,13,north,3.5,3.0,,17.0
"Satdobato, Lalitpur",26000000,1026.75,20,east,2.0,5.0,3.0,17.0
"Budhanilkantha, Kathmandu",25500000,1026.75,12,east,3.5,5.0,5.0,11.0
"Mandikhatar, Kathmandu",,1129.425,13,south,2.5,4.0,4.0,5.0
"Banasthali, Kathmandu",50000000,2738.0,20,east,2.5,5.0,3.0,7.0
"Hattigaunda, Kathmandu",33000000,1779.7,13,east,2.5,4.0,4.0,11.0
"Phutung, Kathmandu",16000000,752.95,13,west,2.5,4.0,4.0,11.0
"Gurjudhara, Kathmandu",32500000,1369.0,13,south,2.5,5.0,4.0,16.0
"Pasikot, Kathmandu",39000000,1779.7,20,east,2.5,5.0,6.0,22.0
"Balkumari, Lalitpur",55000000,3080.25,13,east,2.5,6.0,3.0,12.0
"Bhaisepati, Lalitpur",42500000,1437.45,16,north-west,2.5,5.0,4.0,2.0
"Imadol, Lalitpur",31000000,1369.0,13,south,2.5,4.0,3.0,2.0
"Sitapaila, Kathmandu",35000000,1711.25,13,south,2.5,5.0,3.0,5.0
"Balkhu, Kathmandu",37000000,1095.2,20,east,2.5,4.0,4.0,26.0
"Chandol, Kathmandu",72500000,2738.0,26,south,2.5,,,11.0
"Tikathali, Lalitpur",28500000,1026.75,13,east,2.5,6.0,4.0,11.0
"Imadol, Lalitpur",36500000,1369.0,13,east,3.0,7.0,4.0,9.0
"Grande Hospital, Kathmandu",33000000,1095.2,13,south,2.5,6.0,4.0,2.0
"Hattigaunda, Kathmandu",62500000,2053.5,20,south,2.0,5.0,7.0,26.0
"Hattigaunda, Kathmandu",75000000,2738.0,13,south,2.5,7.0,6.0,9.0
"Imadol, Lalitpur",35000000,1060.9750000000001,30,west,2.5,3.0,3.0,12.0
"Imadol, Lalitpur",31000000,1095.2,13,east,2.5,4.0,4.0,12.0
"Gwarko, Lalitpur",23500000,1026.75,13,east-north,3.0,6.0,3.0,2.0
"Gwarko, Lalitpur",29500000,1026.75,13,west,3.5,4.0,4.0,2.0
"Budhanilkantha, Kathmandu",46500000,1711.25,13,east,3.5,6.0,4.0,5.0
"Budhanilkantha, Kathmandu",31500000,1369.0,13,south,3.0,6.0,6.0,8.0
"Uttardhoka, Kathmandu",15000000,1369.0,20,south,2.0,5.0,2.0,5.0
"Budhanilkantha, Kathmandu",22500000,3080.25,13,east-south,2.0,2.0,2.0,9.0
 Tanahun,,127.0,266,east,2.5,7.0,2.0,9.0
"Imadol, Lalitpur",19000000,787.175,13,east,2.5,4.0,4.0,2.0
"Satdobato, Lalitpur",31000000,1129.425,13,west,2.5,4.0,4.0,26.0
"Bhaisepati, Lalitpur",43500000,1437.45,20,east,2.5,4.0,4.0,9.0
"Gwarko, Lalitpur",22000000,1060.9750000000001,12,north,2.5,5.0,,11.0
"Imadol, Lalitpur",31000000,1369.0,13,east,3.0,5.0,4.0,9.0
"Sitapaila, Kathmandu",55000000,2053.5,20,west,2.5,6.0,3.0,8.0
"Gongabu, Kathmandu",60000000,2429.975,12,north,5.0,10.0,6.0,5.0
"Imadol, Lalitpur",28000000,1026.75,13,north,2.5,5.0,4.0,12.0
"Ochu Height, Lalitpur",27500000,1060.9750000000001,13,north,3.0,6.0,5.0,3.0
"Gwarko, Lalitpur",29500000,1095.2,13,south,2.5,5.0,4.0,8.0
"Lubhu, Lalitpur",19500000,787.175,23,west,3.0,5.0,6.0,5.0
"Lalitpur, Lalitpur",27000000,1095.2,13,south,2.5,5.0,4.0,20.0
"Imadol, Lalitpur",28000000,1369.0,16,east,2.5,6.0,4.0,12.0
"Imadol, Lalitpur",29000000,1026.75,14,east,2.5,3.0,3.0,10.0
"Imadol, Lalitpur",29000000,1095.2,13,east,3.0,5.0,5.0,2.0
"Imadol, Lalitpur",29000000,1095.2,13,east,2.5,4.0,4.0,5.0
"Bhaisepati, Lalitpur",,7529.5,14,west,2.5,5.0,6.0,8.0
"Bhaisepati, Lalitpur",45000000,1711.25,13,east,3.0,4.0,4.0,5.0
"Dhapasi, Kathmandu",22500000,787.175,13,north-west,2.5,4.0,2.0,12.0
"Golfutar, Kathmandu",26000000,1026.75,14,east,2.0,5.0,5.0,11.0
"Dadhikot, Bhaktapur",33000000,1471.675,13,south-west,3.5,8.0,5.0,2.0
"Harisiddhi, Lalitpur",27000000,1026.75,20,south,2.5,3.0,4.0,11.0
"Imadol, Lalitpur",22500000,1026.75,20,west,2.5,,,9.0
"Imadol, Lalitpur",27500000,1403.225,13,south,2.5,5.0,5.0,9.0
"Mulpani, Kathmandu",16000000,752.95,12,east,2.5,5.0,3.0,23.0
"Bafal, Kathmandu",47000000,2395.75,14,west,2.5,6.0,3.0,9.0
"Imadol, Lalitpur",25000000,1060.9750000000001,13,south,2.5,4.0,4.0,12.0
"Imadol, Lalitpur",25000000,1095.2,13,west,2.5,4.0,3.0,12.0
"Sanepa, Lalitpur",90000000,2464.2000000000003,13,south,2.5,6.0,4.0,2.0
"Khumaltar, Lalitpur",65000000,3080.25,13,south-west,4.5,,,2.0
"Sitapaila, Kathmandu",23000000,1369.0,12,north,3.5,9.0,3.0,5.0
"Lainchaur, Kathmandu",35000000,2738.0,8,south,2.5,8.0,4.0,8.0
"Greenhill City, Kathmandu",27000000,1369.0,11,west,4.5,8.0,4.0,5.0
"Sunakothi, Lalitpur",85000000,3080.25,20,south,2.5,5.0,7.0,9.0
"Hattiban, Lalitpur",70000000,1711.25,20,north-west,2.5,5.0,4.0,9.0
"Hattiban, Lalitpur",35000000,1129.425,22,north-west,2.5,3.0,4.0,9.0
"Kamalpokhari, Kathmandu",180000000,2498.4249999999997,591,north,5.0,12.0,6.0,2.0
"Lolang, Kathmandu",18000000,1026.75,10,west,2.5,11.0,,21.0
"Dhapakhel, Lalitpur",25000000,1026.75,16,north,2.0,6.0,3.0,9.0
"Shantinagar, Kathmandu",45000000,1026.75,13,south,2.0,9.0,4.0,9.0
"Dakshindhoka, Kathmandu",26000000,1026.75,20,east-north,2.5,3.0,4.0,5.0
"Budhanilkantha, Kathmandu",34500000,1369.0,13,west,2.5,6.0,5.0,8.0
"Budhanilkantha, Kathmandu",37500000,1711.25,14,south-west,2.0,6.0,5.0,5.0
"Mhaipi, Kathmandu",42500000,1745.475,20,north,2.5,4.0,,9.0
"Dadhikot, Bhaktapur",30000000,1711.25,10,east,2.5,4.0,3.0,6.0
"Mandikhatar, Kathmandu",65000000,2738.0,13,east-north,2.5,6.0,3.0,23.0
"Pasikot, Kathmandu",30000000,1437.45,14,east,2.5,8.0,4.0,23.0
"Lolang, Kathmandu",17500000,1026.75,12,east-south,2.5,11.0,3.0,11.0
"Satungal, Kathmandu",29500000,1437.45,13,north-west,2.5,4.0,4.0,9.0
"Dhapakhel, Lalitpur",43000000,2053.5,13,north,3.0,6.0,4.0,23.0
"Imadol, Lalitpur",31000000,1060.9750000000001,13,east,2.5,6.0,5.0,5.0
"Imadol, Lalitpur",45000000,2156.1749999999997,13,south,3.0,7.0,7.0,8.0
"Imadol, Lalitpur",26500000,1026.75,13,south,2.5,5.0,4.0,5.0
"Imadol, Lalitpur",29500000,1095.2,13,south,2.5,5.0,4.0,9.0
"Greenland Chowk, Kathmandu",37500000,1711.25,20,east-south,2.0,5.0,4.0,9.0
"Bhaisepati, Lalitpur",150000000,3422.5,13,east,2.5,5.0,4.0,9.0
"Italitar, Kathmandu",105000000,3764.75,20,east-north,2.5,5.0,6.0,6.0
"Tikathali, Lalitpur",25500000,1026.75,13,south,2.5,4.0,4.0,23.0
"Sanagaun, Lalitpur",22500000,787.175,20,south,2.5,5.0,3.0,13.0
"Balkumari, Lalitpur",105000000,4107.0,20,north,2.5,6.0,5.0,23.0
"Panchetar, Kathmandu",,1369.0,20,west,2.5,4.0,5.0,2.0
"Tikathali, Lalitpur",28500000,1026.75,13,east,2.5,9.0,4.0,9.0
"Budhanilkantha, Kathmandu",,3764.75,20,east-north,2.5,5.0,5.0,9.0
"Lazimpat, Kathmandu",,3422.5,24,west,2.5,5.0,6.0,6.0
"Maharajgunj, Kathmandu",125000000,3422.5,20,east,2.5,4.0,4.0,23.0
"Deuwa Chowk, Kathmandu",60000000,2053.5,13,west,2.5,8.0,5.0,13.0
"Kageshwori, Kathmandu",16500000,752.95,13,east,2.0,3.0,3.0,11.0
"Budhanilkantha, Kathmandu",33500000,1369.0,13,north,3.0,10.0,5.0,23.0
"SuryadaRs.han Height, Kathmandu",35000000,1711.25,11,east-south,3.5,6.0,4.0,6.0
"Wasik, Kathmandu",27500000,1711.25,13,west,2.0,9.0,4.0,11.0
"New Road, Kathmandu",,342.25,35,south,5.0,12.0,5.0,5.0
"Bojepokhari, Lalitpur",22500000,1026.75,13,north,2.5,7.0,3.0,9.0
"Imadol, Lalitpur",25000000,1026.75,13,east,3.0,7.0,6.0,5.0
"Sanagaun, Lalitpur",28000000,1813.925,15,east,3.0,6.0,6.0,8.0
"Imadol, Lalitpur",26000000,752.95,13,south,3.0,5.0,3.0,5.0
"Imadol, Lalitpur",28000000,1026.75,13,west,3.0,4.0,4.0,9.0
"Imadol, Lalitpur",27000000,1095.2,13,west,2.5,5.0,4.0,9.0
"Old Baneshwor, Kathmandu",29000000,1095.2,6,south,4.5,22.0,8.0,9.0
"Imadol, Lalitpur",32500000,1129.425,16,north-west,3.0,5.0,5.0,6.0
"Harisiddhi, Lalitpur",27000000,1026.75,20,south,2.5,3.0,4.0,13.0
"Deuwa chowk, Kathmandu",65000000,2395.75,14,south,2.5,4.0,5.0,16.0
"Imadol, Lalitpur",27500000,1026.75,13,south-west,3.5,7.0,4.0,5.0
"Thamel, Kathmandu",23000000,787.175,10,east,3.0,5.0,4.0,5.0
"Budhanilkantha, Kathmandu",57500000,1779.7,13,east-south,2.5,4.0,4.0,5.0
"Sitapaila, Kathmandu",50000000,1369.0,13,west,2.5,4.0,4.0,13.0
"Budhanilkantha, Kathmandu",,8214.0,13,east,2.5,4.0,4.0,6.0
"Mid Baneshwor, Kathmandu",17500000,1026.75,14,south,2.5,5.0,5.0,2.0
"Narayanthan , Kathmandu",55000000,1711.25,10,east,2.5,7.0,4.0,2.0
"Hepali Height, Kathmandu",46500000,1471.675,13,west,3.0,6.0,6.0,6.0
"Sanepa, Lalitpur",35000000,855.625,13,east-south,3.0,3.0,2.0,2.0
"Old Baneshwor, Kathmandu",28000000,1095.2,6,east,6.0,22.0,8.0,21.0
"Omsatiya, Rupandehi",22000000,437.40155999999996,23,east,3.0,4.0,4.0,2.0
"Omsatiya, Rupandehi",22000000,437.40155999999996,23,east,2.5,4.0,4.0,2.0
"Baluwatar, Kathmandu",76000000,2053.5,10,south,3.5,8.0,10.0,5.0
"Manamaiju, Kathmandu",73500000,3114.475,13,east-south,3.5,4.0,3.0,11.0
"Greenhill City, Kathmandu",23000000,1026.75,13,east-south,2.5,5.0,3.0,12.0
"Budhanilkantha, Kathmandu",39000000,2053.5,14,south-west,2.5,6.0,6.0,21.0
"Sainbu, Lalitpur",35000000,1369.0,18,east-south,3.0,7.0,4.0,6.0
"Thali, Kathmandu",16000000,752.95,12,east,2.5,5.0,3.0,21.0
"Balkot, Bhaktapur",28000000,1129.425,13,west,3.0,5.0,5.0,9.0
"Budhanilkantha, Kathmandu",40000000,1369.0,16,west,3.0,10.0,4.0,5.0
"Pasikot, Kathmandu",22500000,1095.2,20,south,2.5,4.0,3.0,11.0
"Bhaisepati, Lalitpur",29000000,1369.0,15,south,2.5,4.0,3.0,5.0
"Yogikuti, Rupandehi",90000000,1822.5065,10,north,1.5,2.0,1.0,21.0
"Jyotinagar, Kathmandu",26500000,1026.75,20,south,2.0,4.0,2.0,6.0
"Bagdurbar, Kathmandu",30000000,1369.0,13,south,4.5,6.0,6.0,21.0
"Pepsicola, Kathmandu",55500000,2121.9500000000003,20,south,3.5,6.0,6.0,3.0
"Dillibazar, Kathmandu",140000000,4791.5,15,south,4.5,28.0,7.0,23.0
"Bijulibajar, Kathmandu",85000000,2053.5,12,east-south,4.0,8.0,6.0,11.0
"Sundarbasti, Kathmandu",33800000,1095.2,13,east,2.5,4.0,3.0,12.0
"Pepsicola, Kathmandu",29000000,1711.25,13,north,2.5,5.0,5.0,6.0
"Harisiddhi, Lalitpur",26000000,1095.2,13,east,2.5,5.0,3.0,6.0
"Ghattekulo, Kathmandu",32500000,1095.2,18,east,3.5,6.0,3.0,21.0
"Bhangal , Kathmandu",45000000,1745.475,13,south-west,3.0,7.0,6.0,15.0
"Nakhudole, Lalitpur",15500000,1437.45,4,south,2.0,4.0,2.0,9.0
"Baluwakhani, Kathmandu",27500000,1095.2,10,west,2.5,6.0,4.0,13.0
"Lele, Lalitpur",73000000,2190.4,20,east-south,2.5,4.0,3.0,13.0
"Syuchatar, Kathmandu",25000000,1711.25,16,east,2.5,4.0,3.0,16.0
"Kapan, Kathmandu",32000000,1369.0,13,east-south,2.5,5.0,4.0,3.0
"Khusibu Town Planning, Kathmandu",39000000,1369.0,26,west,2.5,4.0,3.0,16.0
